syllable_type,lyrics_representation,input_text,phoneme_representation1,phoneme_representation2,phoneme_representation3,phoneme_representation4,phoneme_representation5,SysEX_header,ph1,time1,ph2,time2,ph3,time3,ph4,time4,ph5,time5,eox
あ,あ,あ,,,,,aj,F0 43 1# 5D 03 0* 00,1,0,,,,,,,,,F7
い,い,い,,,,,ij,F0 43 1# 5D 03 0* 00,2,0,,,,,,,,,F7
う,う,う,,,,,uj,F0 43 1# 5D 03 0* 00,3,0,,,,,,,,,F7
え,え,え,,,,,ej,F0 43 1# 5D 03 0* 00,4,0,,,,,,,,,F7
お,お,お,,,,,oj,F0 43 1# 5D 03 0* 00,5,0,,,,,,,,,F7
か,か,か,,,CL,kha,aj,F0 43 1# 5D 03 0* 00,7A,1,6,4,1,0,,,,,F7
き,き,き,,,CL,khi,ij,F0 43 1# 5D 03 0* 00,7A,1,7,5,2,0,,,,,F7
く,く,く,,,CL,khu,uj,F0 43 1# 5D 03 0* 00,7A,1,8,3,3,0,,,,,F7
け,け,け,,,CL,khe,ej,F0 43 1# 5D 03 0* 00,7A,1,9,5,4,0,,,,,F7
こ,こ,こ,,,CL,kho,oj,F0 43 1# 5D 03 0* 00,7A,1,A,5,5,0,,,,,F7
くぁ,くぁ,くぁ,,CL,khw,wha,aj,F0 43 1# 5D 03 0* 00,7A,1,C,3,3F,3,1,0,,,F7
くぃ,くぃ,くぃ,,CL,khw,whi,ij,F0 43 1# 5D 03 0* 00,7A,1,C,3,40,5,2,0,,,F7
くぇ,くぇ,くぇ,,CL,khw,whe,ej,F0 43 1# 5D 03 0* 00,7A,1,C,3,41,3,4,0,,,F7
くぉ,くぉ,くぉ,,CL,khw,who,oj,F0 43 1# 5D 03 0* 00,7A,1,C,3,42,3,5,0,,,F7
さ,さ,さ,,,,ssa,aj,F0 43 1# 5D 03 0* 00,D,0A,1,0,,,,,,,F7
すぃ,すぃ,すぃ,,,,ssi,ij,F0 43 1# 5D 03 0* 00,E,C,2,0,,,,,,,F7
す,す,す,,,,ssu,uj,F0 43 1# 5D 03 0* 00,F,0C,3,0,,,,,,,F7
せ,せ,せ,,,,sse,ej,F0 43 1# 5D 03 0* 00,10,B,4,0,,,,,,,F7
そ,そ,そ,,,,sso,oj,F0 43 1# 5D 03 0* 00,11,B,5,0,,,,,,,F7
しゃ,しゃ,しゃ,,,shj,yha,aj,F0 43 1# 5D 03 0* 00,12,0D,35,6,1,0,,,,,F7
し,し,し,,,,shj,ij,F0 43 1# 5D 03 0* 00,12,0D,2,0,,,,,,,F7
しゅ,しゅ,しゅ,,,shj,yhu,uj,F0 43 1# 5D 03 0* 00,12,0D,36,6,3,0,,,,,F7
しぇ,しぇ,しぇ,,,shj,yhe,ej,F0 43 1# 5D 03 0* 00,12,0D,37,6,4,0,,,,,F7
しょ,しょ,しょ,,,shj,yho,oj,F0 43 1# 5D 03 0* 00,12,0D,38,8,5,0,,,,,F7
た,た,た,,,CL,tta,aj,F0 43 1# 5D 03 0* 00,7A,1,13,2,1,0,,,,,F7
てぃ,てぃ,てぃ,,,CL,tti,ij,F0 43 1# 5D 03 0* 00,7A,1,14,3,2,0,,,,,F7
とぅ,とぅ,とぅ,,,CL,ttu,uj,F0 43 1# 5D 03 0* 00,7A,1,15,3,3,0,,,,,F7
て,て,て,,,CL,tte,ej,F0 43 1# 5D 03 0* 00,7A,1,16,3,4,0,,,,,F7
と,と,と,,,CL,tto,oj,F0 43 1# 5D 03 0* 00,7A,1,17,2,5,0,,,,,F7
ちゃ,ちゃ,ちゃ,CL,ttch,chh,yha,aj,F0 43 1# 5D 03 0* 00,7A,1,18,2,19,5,35,4,1,0,F7
ち,ち,ち,,CL,ttch,chh,ij,F0 43 1# 5D 03 0* 00,7A,1,18,2,19,6,2,0,,,F7
ちゅ,ちゅ,ちゅ,CL,ttch,chh,yhu,uj,F0 43 1# 5D 03 0* 00,7A,1,18,2,19,5,36,4,3,0,F7
ちぇ,ちぇ,ちぇ,CL,ttch,chh,yhe,ej,F0 43 1# 5D 03 0* 00,7A,1,18,2,19,5,37,4,4,0,F7
ちょ,ちょ,ちょ,CL,ttch,chh,yho,oj,F0 43 1# 5D 03 0* 00,7A,1,18,2,19,4,38,5,5,0,F7
つぁ,つぁ,つぁ,,CL,tts,suh,aj,F0 43 1# 5D 03 0* 00,7A,1,1A,3,1B,4,1,0,,,F7
つぃ,つぃ,つぃ,,CL,tts,suh,ij,F0 43 1# 5D 03 0* 00,7A,1,1A,3,1B,5,2,0,,,F7
つ,つ,つ,,CL,tts,suh,uj,F0 43 1# 5D 03 0* 00,7A,1,1A,3,1B,3,3,0,,,F7
つぇ,つぇ,つぇ,,CL,tts,suh,ej,F0 43 1# 5D 03 0* 00,7A,1,1A,4,1B,3,4,0,,,F7
つぉ,つぉ,つぉ,,CL,tts,suh,oj,F0 43 1# 5D 03 0* 00,7A,1,1A,3,1B,3,5,0,,,F7
な,な,な,,,,nha,aj,F0 43 1# 5D 03 0* 00,1C,7,1,0,,,,,,,F7
に,に,に,,,,nhi,ij,F0 43 1# 5D 03 0* 00,1D,6,2,0,,,,,,,F7
ぬ,ぬ,ぬ,,,,nhu,uj,F0 43 1# 5D 03 0* 00,1E,5,3,0,,,,,,,F7
